Metric,Ataxia_NG,Ataxia_NG_CI95,Ataxia_RG,Ataxia_RG_CI95,PD_NG,PD_NG_CI95,PD_RG,PD_RG_CI95
cadence,0.912,"[0.810, 0.960]",0.708,"[0.430, 0.860]",0.809,"[0.560, 0.930]",0.578,"[0.090, 0.850]"
stridetime,0.961,"[0.910, 0.980]",0.608,"[0.280, 0.810]",0.804,"[0.550, 0.920]",0.693,"[0.270, 0.890]"
stridetimeSD,0.904,"[0.800, 0.960]",0.547,"[0.190, 0.780]",0.456,"[-0.000, 0.760]",0.423,"[-0.120, 0.780]"
v,0.898,"[0.790, 0.950]",0.822,"[0.630, 0.920]",0.374,"[-0.100, 0.710]",0.728,"[0.340, 0.910]"
