Metric,Ataxia_NG,Ataxia_NG_CI95,Ataxia_RG,Ataxia_RG_CI95,PD_NG,PD_NG_CI95,PD_RG,PD_RG_CI95
cadence,0.909,"[0.770, 0.970]",0.636,"[0.230, 0.850]",0.796,"[0.490, 0.930]",0.375,"[-0.230, 0.780]"
stridetime,0.963,"[0.900, 0.990]",0.525,"[0.070, 0.800]",0.799,"[0.500, 0.930]",0.631,"[0.110, 0.880]"
stridetimeSD,0.922,"[0.800, 0.970]",0.321,"[-0.180, 0.690]",0.447,"[-0.070, 0.780]",0.397,"[-0.210, 0.790]"
v,0.94,"[0.850, 0.980]",0.826,"[0.580, 0.930]",0.43,"[-0.090, 0.770]",0.721,"[0.270, 0.920]"
